report_id,report_date,location,report_type,report_text,hazard_category,sif_precursor,severity,risk_score,recommended_action
OIL-SAF-01502,2026-01-17,Workshop,Near Miss,worker handled hazardous chemical without required protection during loading/unloading at the workshop.,Chemical Exposure,Yes,Critical,76,Supervisor review required
OIL-SAF-02587,2025-04-22,Refinery,Unsafe Condition,lockout tagout was not applied before maintenance during routine maintenance at the refinery.,Energy Isolation,No,Medium,23,Supervisor review required
OIL-SAF-02654,2025-09-28,Refinery,Unsafe Condition,scaffold had missing guardrails during routine maintenance at the refinery. Immediate corrective action was initiated.,Working at Height,Yes,High,72,Immediate intervention required
OIL-SAF-01056,2025-07-07,Drilling Site,Near Miss,damaged electrical cable was found in work area during contractor activity at the drilling site. Immediate corrective action was initiated.,Electrical,Yes,Medium,91,Supervisor review required
OIL-SAF-00706,2026-04-15,Drilling Site,Unsafe Condition,worked inside vessel without atmospheric monitoring during loading/unloading at the drilling site.,Confined Space,Yes,Critical,78,Immediate intervention required
OIL-SAF-00107,2026-04-01,Pipeline Area,Unsafe Condition,improper lifting technique was observed during plant operation at the pipeline area. No immediate injury was reported.,Lifting,No,Low,49,Stop activity and correct hazard
OIL-SAF-00590,2025-03-03,Gas Processing Plant,Unsafe Condition,poor housekeeping created a slip hazard during equipment maintenance at the gas processing plant. No immediate injury was reported.,Housekeeping,No,Low,8,Inspect area and implement controls
OIL-SAF-02469,2025-02-01,Pipeline Area,Unsafe Condition,operating procedure was not followed during inspection at the pipeline area.,Process Safety,Yes,High,93,Inspect area and implement controls
OIL-SAF-02414,2025-09-19,Drilling Site,Near Miss,lockout tagout was not applied before maintenance during plant operation at the drilling site.,Energy Isolation,Yes,Critical,72,Corrective action and follow-up required
OIL-SAF-01601,2026-06-28,Production Unit,Near Miss,flammable material was stored near ignition source during plant operation at the production unit. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,72,Corrective action and follow-up required
OIL-SAF-02465,2025-09-01,Drilling Site,Unsafe Act,technician used ladder without proper fall protection during routine maintenance at the drilling site. Immediate corrective action was initiated.,Working at Height,Yes,High,73,Immediate intervention required
OIL-SAF-00229,2026-05-10,Gas Processing Plant,Unsafe Act,lifting operation was conducted without proper rigging during routine maintenance at the gas processing plant. Immediate corrective action was initiated.,Lifting,Yes,High,78,Supervisor review required
OIL-SAF-00916,2025-04-26,Storage Area,Near Miss,equipment was isolated incorrectly during inspection at the storage area. No immediate injury was reported.,Energy Isolation,No,Low,29,Inspect area and implement controls
OIL-SAF-00795,2025-08-27,Refinery,Near Miss,worker was working at height without fall protection during loading/unloading at the refinery.,Working at Height,Yes,High,61,Corrective action and follow-up required
OIL-SAF-03022,2025-09-06,Production Unit,Near Miss,process deviation was observed without corrective action during loading/unloading at the production unit. Immediate corrective action was initiated.,Process Safety,Yes,Critical,70,Immediate intervention required
OIL-SAF-03544,2025-03-02,Drilling Site,Unsafe Condition,materials were stacked unsafely during inspection at the drilling site. No immediate injury was reported.,Housekeeping,No,Low,8,Stop activity and correct hazard
OIL-SAF-01074,2025-04-28,Pipeline Area,Near Miss,scaffold had missing guardrails during routine maintenance at the pipeline area. Immediate corrective action was initiated.,Working at Height,Yes,High,59,Immediate intervention required
OIL-SAF-03352,2025-06-03,Workshop,Unsafe Condition,hot work was performed without adequate fire protection during loading/unloading at the workshop.,Fire/Explosion,Yes,Critical,92,Inspect area and implement controls
OIL-SAF-01745,2025-05-04,Loading Area,Unsafe Act,worker entered the operating area of heavy equipment during loading/unloading at the loading area. No immediate injury was reported.,Heavy Equipment,No,Medium,24,Supervisor review required
OIL-SAF-01085,2026-05-05,Refinery,Unsafe Condition,worker handled hazardous chemical without required protection during contractor activity at the refinery. Immediate corrective action was initiated.,Chemical Exposure,Yes,High,69,Inspect area and implement controls
OIL-SAF-00927,2025-07-23,Production Unit,Unsafe Condition,worker handled exposed electrical wiring during contractor activity at the production unit.,Electrical,No,Medium,20,Supervisor review required
OIL-SAF-03050,2025-06-20,Maintenance Area,Unsafe Condition,chemical container was leaking without containment during loading/unloading at the maintenance area.,Chemical Exposure,Yes,High,89,Corrective action and follow-up required
OIL-SAF-01118,2026-03-23,Refinery,Near Miss,worker was not wearing helmet during equipment maintenance at the refinery. Immediate corrective action was initiated.,PPE,Yes,Critical,83,Inspect area and implement controls
OIL-SAF-00643,2026-05-02,Pipeline Area,Near Miss,damaged electrical cable was found in work area during inspection at the pipeline area. Immediate corrective action was initiated.,Electrical,Yes,High,60,Corrective action and follow-up required
OIL-SAF-04768,2025-10-11,Loading Area,Unsafe Act,technician used ladder without proper fall protection during inspection at the loading area.,Working at Height,Yes,High,69,Inspect area and implement controls
OIL-SAF-00502,2026-01-27,Drilling Site,Unsafe Act,pipeline maintenance started without pressure isolation during contractor activity at the drilling site.,Pressure,Yes,Critical,55,Immediate intervention required
OIL-SAF-04067,2025-11-15,Refinery,Unsafe Condition,worked inside vessel without atmospheric monitoring during inspection at the refinery.,Confined Space,No,Low,46,Supervisor review required
OIL-SAF-00334,2025-03-04,Storage Area,Unsafe Act,electrical panel was opened without isolation during loading/unloading at the storage area. No immediate injury was reported.,Electrical,No,Low,53,Supervisor review required
OIL-SAF-04685,2025-07-22,Workshop,Unsafe Condition,poor housekeeping created a slip hazard during equipment maintenance at the workshop.,Housekeeping,No,Low,9,Supervisor review required
OIL-SAF-00487,2026-05-25,Drilling Site,Near Miss,safety goggles were missing during equipment maintenance at the drilling site. No immediate injury was reported.,PPE,No,Low,39,Corrective action and follow-up required
OIL-SAF-01963,2025-03-28,Drilling Site,Near Miss,worker handled hazardous chemical without required protection during inspection at the drilling site. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,59,Immediate intervention required
OIL-SAF-00394,2025-02-18,Loading Area,Near Miss,safety gloves were not used during plant operation at the loading area.,PPE,No,Low,49,Supervisor review required
OIL-SAF-04843,2025-06-23,Loading Area,Unsafe Condition,oil leakage was observed near hot equipment during plant operation at the loading area. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,74,Stop activity and correct hazard
OIL-SAF-04867,2026-01-01,Workshop,Unsafe Condition,chemical container was leaking without containment during loading/unloading at the workshop.,Chemical Exposure,Yes,High,56,Supervisor review required
